,lat,lng,counts
0,39.9075,116.3972,4218
1,22.2783,114.1747,2556
2,1.3215,103.6957,1889
3,52.374,4.8897,1786
4,40.8043,-74.0,1661
5,23.1167,113.25,1504
6,31.2222,121.4581,1442
7,51.5085,0.0,1136
8,40.8344,-74.0,1066
9,16.0678,108.2208,1042
10,37.566,126.9784,1035
11,22.5455,114.0683,989
12,1.2897,103.8501,926
13,13.2257,77.575,871
14,50.1025,8.6299,846
15,55.7522,37.6156,828
16,50.1155,8.6842,712
17,10.823,106.6296,604
18,48.8534,2.3488,542
19,37.3924,-121.0,483
20,35.6895,139.6917,468
21,30.2936,120.1614,442
22,37.3483,-121.0,438
23,39.0997,-94.0,427
24,36.175,-115.0,417
25,19.0728,72.8826,332
26,21.0245,105.8412,331
27,40.7143,-74.0,298
28,59.9386,30.3141,292
29,39.0437,-77.0,278
30,52.2298,21.0118,274
31,34.0522,-118.0,252
32,43.7001,-79.0,248
33,37.3058,-78.0,231
34,49.6117,6.13,213
35,45.4643,9.1895,211
36,12.9719,77.5937,190
37,30.6667,104.0667,186
38,25.0478,121.5319,186
39,13.754,100.5014,184
40,41.2619,-95.0,179
41,34.0443,-118.0,177
42,59.3294,18.0687,176
43,40.7402,-73.0,166
44,49.7873,6.0654,158
45,25.7743,-80.0,154
46,32.0617,118.7778,152
47,19.4285,-99.0,146
48,51.2217,6.7762,144
49,39.1422,117.1767,141
50,18.5196,73.8554,135
51,24.1469,120.6839,135
52,33.4484,-112.0,121
53,37.3893,-122.0,117
54,13.0878,80.2785,117
55,50.4547,30.5238,116
56,37.6819,-121.0,115
57,37.7749,-122.0,114
58,3.4372,-76.0,113
59,41.0138,28.9497,111
60,3.1412,101.6865,111
61,38.8951,-77.0,102
62,22.3167,114.1833,102
63,28.6519,77.2315,102
64,53.9,27.5667,102
65,60.354,24.9794,100
66,22.3302,114.1595,100
67,40.4165,-3.0,97
68,35.6944,51.4215,94
69,36.819,10.1658,93
70,52.1733,5.2917,91
71,24.4798,118.0819,89
72,31.3041,120.5954,88
73,37.3394,-121.0,86
74,4.6097,-74.0,84
75,48.5839,7.7455,83
76,50.6942,3.1746,80
77,47.4984,19.0404,80
78,22.5231,113.3791,79
79,59.9321,30.1968,78
80,37.5483,-121.0,78
81,37.7309,-122.0,77
82,51.1658,10.4216,76
83,49.4542,11.0775,75
84,45.8144,15.978,75
85,30.466,30.932,75
86,45.5088,-73.0,74
87,36.3491,127.3849,74
88,53.3331,-6.0,73
89,36.0649,120.3804,72
90,50.4779,12.3713,72
91,45.8399,-119.0,71
92,50.8505,4.3488,71
93,23.7104,90.4074,70
94,42.6975,23.3241,67
95,17.384,78.4564,66
96,34.2583,108.9286,65
97,52.3808,4.6368,64
98,10.488,-66.0,60
99,41.85,-87.0,59
100,36.0811,-115.0,58
101,42.8865,-78.0,57
102,44.4323,26.1063,57
103,22.9908,120.2133,57
104,47.6062,-122.0,57
105,52.5244,13.4105,57
106,47.2343,-119.0,56
107,22.5626,88.363,56
108,37.4565,126.7052,56
109,32.7831,-96.0,54
110,59.437,24.7535,53
111,32.0809,34.7806,53
112,34.0559,-118.0,51
113,40.2347,-111.0,50
114,47.3667,8.55,50
115,41.2647,69.2163,49
116,31.8639,117.2808,48
117,6.2518,-75.0,48
118,32.0303,120.8747,48
119,40.0334,-83.0,47
